Company,workspace_id,title,story_type,start_date,due_date,state
Mole Street,43451057,Finish Line Week,milestone,,,not started
Mole Street,43451057,identify any activity-based static lists needed,deliverable,,,not started
Mole Street,43451057,engagement in L90,task,,,not started
Mole Street,43451057,Audiences,task,,,not started
Mole Street,43451057,Certain form submissions in LXX,task,,,not started
Mole Street,43451057,Flow trigger activity,task,,,not started
Mole Street,43451057,"Salesforce tasks, campaign comments, notes",deliverable,,,not started
Mole Street,43451057,Sheri's white list pages (2),deliverable,,,not started
Mole Street,43451057,Data validation deep dive,deliverable,,,not started
Mole Street,43451057,List of properties to be created in SFDC,deliverable,,,not started
Mole Street,43451057,SUBSCRIPTION OPT INS,deliverable,,,not started
Mole Street,43451057,"Opt in flow for marketing sub, form submissions",deliverable,,,not started
Mole Street,43451057,Redirects spreadsheet for Keith,deliverable,,,not started
Mole Street,43451057,Marketing contacts turned on,deliverable,,,not started
Mole Street,43451057,Inclusion list swapped out for production list,deliverable,,,not started
Mole Street,43451057,Get GA code from Jacob,deliverable,,,not started
Mole Street,43451057,"State assignments, finish for TX, OH, NC, FL",deliverable,,,not started
Mole Street,43451057,Check marketo data -> HS properties,deliverable,,,not started
Mole Street,43451057,form embed spreadsheet,deliverable,,,not started
Mole Street,43451057,All workflows turned on,deliverable,,,not started
Mole Street,43451057,publish out all the landing pages,deliverable,,,not started
Mole Street,43451057,publish out all the emails,deliverable,,,not started
Mole Street,43451057,marketing contacts,deliverable,,,not started
Mole Street,43451057,Unsubscribe: opt out of all subscription,deliverable,,,not started
Mole Street,43451057,tim's state org lead gen form,deliverable,,,not started
Mole Street,43451057,deb's state org form -- sfdc updates,deliverable,,,not started
Mole Street,43451057,CCRW reconcile,deliverable,,,not started
Mole Street,43451057,Keep Campaign Comments in Sync,deliverable,,,not started